Original number: 155 current diff number: 0 , quantizated number: 155 , dequantizated number: 155 , decoded number: 155
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28108
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28109
Original number: 165 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 28111
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28111
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28111
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28111
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28112
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28112
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28112
Original number: 163 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28113
Original number: 163 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28113
Original number: 159 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 28117
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28117
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28117
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28118
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28119
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28120
Original number: 156 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28120
Original number: 155 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28121
Original number: 154 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28122
Original number: 153 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28123
Original number: 153 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28123
Original number: 152 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28124
Original number: 151 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28125
Original number: 151 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28125
Original number: 150 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28126
Original number: 150 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28126
Original number: 146 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 28130
Original number: 146 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28130
Original number: 146 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28130
Original number: 146 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28130
Original number: 146 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28130
Original number: 165 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 28149
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28150
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28150
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28150
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28151
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28151
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28151
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28151
Original number: 169 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 28153
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28154
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28154
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28155
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28156
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28157
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28158
Original number: 171 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28159
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28160
Original number: 175 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 28165
Original number: 171 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 28169
Original number: 168 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 28172
Original number: 174 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 28178
Original number: 177 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 28181
Original number: 178 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28182
Original number: 186 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 28190
Original number: 213 current diff number: 27 , quantizated number: 27 , dequantizated number: 27 , decoded number: 28217
Original number: 123 current diff number: 90 , quantizated number: 90 , dequantizated number: 90 , decoded number: 28307
Original number: 32 current diff number: 91 , quantizated number: 91 , dequantizated number: 91 , decoded number: 28398
Original number: 0 current diff number: 32 , quantizated number: 32 , dequantizated number: 32 , decoded number: 28430
Original number: 9 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 28439
Original number: 16 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 28446
Original number: 14 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 28448
Original number: 11 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 28451
Original number: 13 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28453
Original number: 15 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 28455
Original number: 16 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28456
Original number: 16 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28456
Original number: 14 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 28458
Original number: 13 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28459
Original number: 14 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28460
Original number: 15 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 28461
Original number: 15 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 28461
Original number: 17 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 28463
Original number: 136 current diff number: 119 , quantizated number: 119 , dequantizated number: 119 , decoded number: 28582
Original number: 69 current diff number: 67 , quantizated number: 67 , dequantizated number: 67 , decoded number: 28649
Original number: 78 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 28658
Original number: 44 current diff number: 34 , quantizated number: 34 , dequantizated number: 34 , decoded number: 28692
Original number: 6 current diff number: 38 , quantizated number: 38 , dequantizated number: 38 , decoded number: 28730
Original number: 2 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 28734
Original number: 16 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 28748
Original number: 34 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 28766
Original number: 0 current diff number: 34 , quantizated number: 34 , dequantizated number: 34 , decoded number: 28800
Original number: 106 current diff number: 106 , quantizated number: 106 , dequantizated number: 106 , decoded number: 28906
Original number: 194 current diff number: 88 , quantizated number: 88 , dequantizated number: 88 , decoded number: 28994
Original number: 169 current diff number: 25 , quantizated number: 25 , dequantizated number: 25 , decoded number: 29019
Original number: 190 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 29040
Original number: 155 current diff number: 35 , quantizated number: 35 , dequantizated number: 35 , decoded number: 29075
Original number: 46 current diff number: 109 , quantizated number: 109 , dequantizated number: 109 , decoded number: 29184
Original number: 59 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 29197
Original number: 77 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 29215
Original number: 59 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 29233
Original number: 73 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 29247
Original number: 53 current diff number: 20 , quantizated number: 20 , dequantizated number: 20 , decoded number: 29267
Original number: 60 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 29274
Original number: 60 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29274
Original number: 55 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 29279
Original number: 66 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 29290
Original number: 60 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 29296
Original number: 78 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 29314
Original number: 170 current diff number: 92 , quantizated number: 92 , dequantizated number: 92 , decoded number: 29406
Original number: 179 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 29415
Original number: 168 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 29426
Original number: 174 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 29432
Original number: 170 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 29436
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29437
Original number: 169 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29437
Original number: 169 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29437
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29438
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29438
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29438
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29438
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29439
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29439
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29439
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29439
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29440
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29440
Original number: 165 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29441
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29441
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29442
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29442
Original number: 163 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29443
Original number: 163 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29443
Original number: 163 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29443
Original number: 162 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29444
Original number: 162 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29444
Original number: 162 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29444
Original number: 159 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 29447
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29447
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29448
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29449
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29450
Original number: 154 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 29452
Original number: 153 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29453
Original number: 153 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29453
Original number: 151 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 29455
Original number: 151 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29455
Original number: 151 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29455
Original number: 150 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29456
Original number: 149 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29457
Original number: 148 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29458
Original number: 148 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29458
Original number: 147 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29459
Original number: 147 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29459
Original number: 147 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29459
Original number: 147 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29459
Original number: 146 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29460
Original number: 146 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29460
Original number: 165 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 29479
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29479
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29479
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29480
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29480
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29481
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29481
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29481
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29482
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29482
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29483
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29483
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29484
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29485
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29486
Original number: 170 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29486
Original number: 175 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 29491
Original number: 174 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29492
Original number: 171 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 29495
Original number: 176 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 29500
Original number: 184 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 29508
Original number: 178 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 29514
Original number: 177 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29515
Original number: 191 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 29529
Original number: 104 current diff number: 87 , quantizated number: 87 , dequantizated number: 87 , decoded number: 29616
Original number: 37 current diff number: 67 , quantizated number: 67 , dequantizated number: 67 , decoded number: 29683
Original number: 0 current diff number: 37 , quantizated number: 37 , dequantizated number: 37 , decoded number: 29720
Original number: 14 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 29734
Original number: 24 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 29744
Original number: 6 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 29762
Original number: 5 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 29763
Original number: 29 current diff number: 24 , quantizated number: 24 , dequantizated number: 24 , decoded number: 29787
Original number: 13 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29803
Original number: 15 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 29805
Original number: 18 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 29808
Original number: 21 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 29811
Original number: 21 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 29811
Original number: 19 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 29813
Original number: 15 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 29817
Original number: 12 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 29820
Original number: 15 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 29823
Original number: 13 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 29825
Original number: 147 current diff number: 134 , quantizated number: 134 , dequantizated number: 134 , decoded number: 29959
Original number: 56 current diff number: 91 , quantizated number: 91 , dequantizated number: 91 , decoded number: 30050
Original number: 21 current diff number: 35 , quantizated number: 35 , dequantizated number: 35 , decoded number: 30085
Original number: 17 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 30089
Original number: 15 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 30091
Original number: 12 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 30094
Original number: 0 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 30106
Original number: 15 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 30121
Original number: 31 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 30137
Original number: 0 current diff number: 31 , quantizated number: 31 , dequantizated number: 31 , decoded number: 30168
Original number: 163 current diff number: 163 , quantizated number: 163 , dequantizated number: 163 , decoded number: 30331
Original number: 200 current diff number: 37 , quantizated number: 37 , dequantizated number: 37 , decoded number: 30368
Original number: 178 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 30390
Original number: 180 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 30392
Original number: 110 current diff number: 70 , quantizated number: 70 , dequantizated number: 70 , decoded number: 30462
Original number: 1 current diff number: 109 , quantizated number: 109 , dequantizated number: 109 , decoded number: 30571
Original number: 31 current diff number: 30 , quantizated number: 30 , dequantizated number: 30 , decoded number: 30601
Original number: 35 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 30605
Original number: 26 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 30614
Original number: 38 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 30626
Original number: 25 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 30639
Original number: 66 current diff number: 41 , quantizated number: 41 , dequantizated number: 41 , decoded number: 30680
Original number: 24 current diff number: 42 , quantizated number: 42 , dequantizated number: 42 , decoded number: 30722
Original number: 29 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 30727
Original number: 10 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 30746
Original number: 19 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 30755
Original number: 112 current diff number: 93 , quantizated number: 93 , dequantizated number: 93 , decoded number: 30848
Original number: 167 current diff number: 55 , quantizated number: 55 , dequantizated number: 55 , decoded number: 30903
Original number: 159 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 30911
Original number: 169 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 30921
Original number: 169 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30921
Original number: 169 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30921
Original number: 169 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30921
Original number: 169 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30921
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30922
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30922
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30922
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30923
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30923
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30923
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30923
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30924
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30924
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30924
Original number: 165 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30925
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30925
Original number: 164 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30926
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30926
Original number: 163 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30927
Original number: 163 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30927
Original number: 163 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30927
Original number: 162 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30928
Original number: 162 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30928
Original number: 162 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30928
Original number: 159 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 30931
Original number: 159 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30931
Original number: 158 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30932
Original number: 157 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30933
Original number: 156 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30934
Original number: 154 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 30936
Original number: 153 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30937
Original number: 153 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30937
Original number: 151 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 30939
Original number: 151 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30939
Original number: 151 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30939
Original number: 150 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30940
Original number: 149 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30941
Original number: 148 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30942
Original number: 148 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30942
Original number: 147 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30943
Original number: 147 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30943
Original number: 147 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30943
Original number: 146 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30944
Original number: 146 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30944
Original number: 146 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30944
Original number: 164 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 30962
Original number: 164 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30962
Original number: 165 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30963
Original number: 165 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30963
Original number: 166 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30964
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30964
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30964
Original number: 166 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30964
Original number: 168 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 30966
Original number: 168 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30966
Original number: 167 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30967
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30967
Original number: 167 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 30967
Original number: 168 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30968
Original number: 169 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30969
Original number: 170 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 30970
Original number: 175 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 30975
Original number: 167 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 30983
Original number: 179 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 30995
Original number: 176 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 30998
Original number: 168 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 31006
